,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
1,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
2,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
3,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
4,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
5,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
6,APPROXIMATE,"Taplejung, Nepal",ChIJX8zCT78-5jkRKGr2gBVxIzc,Taplejung,27.6257485,87.77633329999999,1,,OK,"administrative_area_level_3,political"
7,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
8,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
9,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
10,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
11,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
12,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
13,APPROXIMATE,"Panchthar, Nepal",ChIJN4kGATAK5jkRIbodMAw0leg,Panchthar,27.2036401,87.8156715,1,,OK,"administrative_area_level_3,political"
14,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political"
15,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political"
16,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political"
17,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political"
18,APPROXIMATE,"Ilam, Ilam Province, Iran",ChIJXRfDGLJM-z8RpIlHs6AtuKM,Ilam,33.6349736,46.415281,2,,OK,"locality,political"
